candid,mjd,ra,decl,fid,nid,magpsf,sigmapsf,magnr,sigmagnr,magzpsci,isdiffpos,ssdistnr,ssnamenr,ndethist,dc_mag,dc_sigmag,dc_mag_g02,dc_mag_g08,dc_mag_g28,dc_mag_r02,dc_mag_r08,dc_mag_r28,drb,utc,diffmaglim
1.613210794315015e+18,59367.21079860022,209.3201337,-9.5440845,2,1613.0,17.9672,0.0532703,20.662,0.066,26.2932,t,-999.0,None,93.0,17.8814,0.0494792,-1.0,-1.0,-1.0,17.8317,17.6175,17.6274,1.0,2021-06-02 05:03:32,
1.611283574315015e+18,59365.28357640002,209.3201472,-9.5441145,1,1611.0,17.7883,0.0536229,21.324,0.097,26.2193,t,-999.0,None,92.0,17.7432,0.0515902,17.7114,17.5219,17.628,-1.0,-1.0,-1.0,0.999996,2021-05-31 06:48:21,
1.609315934315015e+18,59363.31593749998,209.3201574,-9.5441037,2,1609.0,17.5853,0.0451417,20.662,0.066,26.3543,t,-999.0,None,91.0,17.5275,0.0429389,-1.0,-1.0,-1.0,17.5327,17.452,17.5895,1.0,2021-05-29 07:34:56,
1.609230634315015e+18,59363.23063659994,209.3201469,-9.5441045,1,1609.0,17.8453,0.0534765,21.324,0.097,26.3333,t,-999.0,None,90.0,17.8024,0.0515425,17.6546,17.4572,17.6193,-1.0,-1.0,-1.0,1.0,2021-05-29 05:32:07,
1.607336234315015e+18,59361.33623840008,209.320182,-9.5440912,2,1607.0,17.618,0.0662837,20.662,0.066,26.327,t,-999.0,None,89.0,17.5571,0.062768,-1.0,-1.0,-1.0,17.5415,17.4309,17.5941,1.0,2021-05-27 08:04:10,
1.607274644315015e+18,59361.27464119997,209.320176,-9.5440791,1,1607.0,17.445,0.0534722,21.324,0.097,26.328,t,-999.0,None,88.0,17.415,0.0520826,17.4093,17.3616,17.606,-1.0,-1.0,-1.0,0.999998,2021-05-27 06:35:28,
1.602251634315015e+18,59356.2516319002,209.3201398,-9.5441273,2,1602.0,17.4239,0.0551709,20.662,0.066,26.3369,t,-999.0,None,87.0,17.3731,0.0527371,-1.0,-1.0,-1.0,17.3587,17.3187,17.6014,0.999999,2021-05-22 06:02:20,
1.602211654315015e+18,59356.211655099876,209.3201702,-9.5440927,1,1602.0,17.3867,0.0514583,21.324,0.097,26.2907,t,-999.0,None,86.0,17.3573,0.0501498,17.3431,17.3145,17.6439,-1.0,-1.0,-1.0,1.0,2021-05-22 05:04:47,
1.600251054315015e+18,59354.2510532001,209.3201623,-9.5441418,2,1600.0,17.3896,0.0501011,20.662,0.066,26.3306,t,-999.0,None,85.0,17.3401,0.0479586,-1.0,-1.0,-1.0,17.334,17.3033,17.6183,0.999974,2021-05-20 06:01:30,
1.598210504315015e+18,59352.21050930023,209.3201545,-9.5441045,1,1598.0,17.2691,0.0424715,21.324,0.097,26.2071,t,-999.0,None,83.0,17.2406,0.0414467,17.2522,17.2866,17.6879,-1.0,-1.0,-1.0,0.999999,2021-05-18 05:03:08,
1.594337894315015e+18,59348.33789349999,209.3201534,-9.5440922,1,1594.0,17.369,0.0436975,21.324,0.097,26.22,t,-999.0,None,82.0,17.3382,0.0425596,17.3213,17.3153,17.7542,-1.0,-1.0,-1.0,1.0,2021-05-14 08:06:33,
1.594313884315015e+18,59348.31388889998,209.3201575,-9.5440986,2,1594.0,17.2459,0.0403605,20.662,0.066,26.3059,t,-999.0,None,81.0,17.2014,0.0388315,-1.0,-1.0,-1.0,17.2217,17.2628,17.684,1.0,2021-05-14 07:32:00,
1.592378534315015e+18,59346.37853009999,209.3201461,-9.5441069,2,1592.0,17.3135,0.0436071,20.662,0.066,26.2525,t,-999.0,None,78.0,17.2639,0.0417643,-1.0,-1.0,-1.0,17.2548,17.2796,17.7186,0.999999,2021-05-12 09:05:05,
1.592375094315015e+18,59346.37509260001,209.3201736,-9.5440957,1,1592.0,17.335,0.0363265,21.324,0.097,26.163,t,-999.0,None,79.0,17.3034,0.035396,17.2931,17.309,17.7845,-1.0,-1.0,-1.0,1.0,2021-05-12 09:00:08,
1.590379034315015e+18,59344.37903939979,209.3201613,-9.5441165,2,1590.0,17.2624,0.0366979,20.662,0.066,26.2384,t,-999.0,None,77.0,17.2145,0.0352277,-1.0,-1.0,-1.0,17.2392,17.284,17.7522,1.0,2021-05-10 09:05:49,
1.588336844315015e+18,59342.33684029989,209.3201601,-9.5440916,1,1588.0,17.2506,0.0329388,21.324,0.097,26.2496,t,-999.0,None,76.0,17.2236,0.0322184,17.2258,17.3126,17.8591,-1.0,-1.0,-1.0,1.0,2021-05-08 08:05:03,
1.588294564315015e+18,59342.29456020007,209.3201458,-9.5441021,2,1588.0,17.3522,0.0389888,20.662,0.066,26.3102,t,-999.0,None,75.0,17.3034,0.0373895,-1.0,-1.0,-1.0,17.2846,17.3047,17.7938,1.0,2021-05-08 07:04:10,
1.586293434315015e+18,59340.29343750002,209.3201567,-9.5440955,2,1586.0,17.2842,0.0362971,20.662,0.066,26.3282,t,-999.0,None,74.0,17.2391,0.0349234,-1.0,-1.0,-1.0,17.2524,17.3051,17.8301,1.0,2021-05-06 07:02:33,
1.584272774315015e+18,59338.27277779998,209.3201397,-9.544105,2,1584.0,17.3475,0.0469992,20.662,0.066,26.3145,t,-999.0,None,73.0,17.2992,0.0450439,-1.0,-1.0,-1.0,17.2756,17.324,17.8744,1.0,2021-05-04 06:32:48,
1.582273114315015e+18,59336.27311340021,209.320149,-9.5441128,1,1582.0,17.3076,0.039504,21.324,0.097,26.2746,t,-999.0,None,72.0,17.2798,0.0385839,17.2702,17.4135,18.0127,-1.0,-1.0,-1.0,1.0,2021-05-02 06:33:16,
1.5822731143150252e+18,59336.27311340021,209.320149,-9.5441128,1,1582.0,17.3076,0.039504,21.324,0.097,26.2746,t,-999.0,-999.0,,17.2798,0.0385839,17.2702,17.4135,18.0127,-1.0,-1.0,-1.0,,2021-05-02 06:33:16,
1.5822731143150351e+18,59336.27311340021,209.320149,-9.5441128,1,1582.0,17.3076,0.039504,21.324,0.097,26.2746,t,-999.0,-999.0,,17.2798,0.0385839,17.2702,17.4135,18.0127,-1.0,-1.0,-1.0,,2021-05-02 06:33:16,
1.580315474315015e+18,59334.31547449995,209.3201584,-9.5441282,2,1580.0,17.1638,0.0367157,20.662,0.066,26.3728,t,-999.0,None,71.0,17.1249,0.0355007,-1.0,-1.0,-1.0,17.1287,17.3399,17.9617,1.0,2021-04-30 07:34:16,
1.580232584315015e+18,59334.232580999844,209.3201543,-9.5441111,1,1580.0,17.2826,0.0385075,21.324,0.097,26.2566,t,25.0,2015DD158,70.0,17.255,0.0376197,17.2531,17.4524,18.0682,-1.0,-1.0,-1.0,1.0,2021-04-30 05:34:54,
1.574315694315015e+18,59328.31569440011,209.320158,-9.5440899,1,1574.0,17.2059,0.0423386,21.324,0.097,26.2939,t,-999.0,None,69.0,17.181,0.0414375,17.2187,17.6685,18.2595,-1.0,-1.0,-1.0,1.0,2021-04-24 07:34:35,
1.574272884315015e+18,59328.27288189996,209.3201638,-9.5441091,2,1574.0,17.213,0.0407589,20.662,0.066,26.336,t,-999.0,None,68.0,17.171,0.0392921,-1.0,-1.0,-1.0,17.2019,17.5826,18.1632,1.0,2021-04-24 06:32:56,
1.570361824315015e+18,59324.361828700174,209.3201536,-9.5441131,1,1570.0,17.412,0.0428728,21.324,0.097,26.284,t,-999.0,None,67.0,17.3817,0.0417787,17.453,17.9802,18.4231,-1.0,-1.0,-1.0,1.0,2021-04-20 08:41:01,
1.5702702543150152e+18,59324.27025459986,209.3201551,-9.5441055,2,1570.0,17.3962,0.0415479,20.662,0.066,26.3262,t,-999.0,None,65.0,17.3462,0.0397893,-1.0,-1.0,-1.0,17.3998,17.8498,18.3157,0.999999,2021-04-20 06:29:09,
1.5702702543150351e+18,59324.27025459986,209.3201551,-9.5441055,2,1570.0,17.3962,0.041548,20.662,0.066,26.3262,t,-999.0,-999.0,,17.3462,0.0397894,-1.0,-1.0,-1.0,17.3998,17.8498,18.3157,,2021-04-20 06:29:09,
